Melody ID,Year,BPM,Tonic,Mode,Length (seconds),Length (notes),Onset Density,Contour Score,Tonality,Melody Range,nPVI,STM IC,Syncopation Score,Pitch STD
200303_1,2003,100,Bb,Minor,21.0,90,4.285714285714286,0.6741573033707865,0.6072815740787518,5,23.970037453183508,2.1621764,1.5076845,1.6881577364718845
200303_2,2003,100,Bb,Minor,25.95,90,3.468208092485549,1.348314606741573,0.9233008454736792,10,42.846441947565566,2.1975076,1.5296321,2.861601899653193
200303_3,2003,100,Bb,Minor,19.05,71,3.727034120734908,0.6,0.5063022486998879,7,5.714285714285714,1.7160506,1.536508,1.3880208444794273
200304_1,2003,99,D,Minor,9.696976,36,3.7124975868765686,3.4,0.7195786909852897,5,16.38095238095238,2.0316215,1.6271393,2.328699101681632
200304_2,2003,99,D,Minor,19.29274454785156,70,3.628306995221952,1.565217391304348,0.5930486292270434,7,18.978605935127675,2.784482,2.6926243,1.8711559234323363
200304_3,2003,99,D,Minor,18.787891,68,3.6193524861305617,1.4029850746268655,0.657492250465115,5,22.6545842217484,1.861761,2.6647336,1.6446936800018606
200304_4,2003,99,D,Minor,24.24244,71,2.9287480963137376,2.271428571428572,0.59657276546413,10,40.33333333333336,3.3301482,3.0472124,2.489254829308774
200305_1,2003,74,G,Major,36.486495000000005,73,2.000740273901344,1.6388888888888888,0.7051758424633437,12,40.912698412698376,3.0749006,2.0025098,2.497963140967271
200305_2,2003,74,G,Major,37.297306000000006,117,3.136955789782779,1.9827586206896552,0.4564231977062508,8,14.482758620689648,1.7356799,1.3950746,2.2003858101461624
200305_3,2003,74,G,Major,28.17568225,66,2.342445496594852,1.2461538461538462,0.6594584856133836,11,37.02564102564104,3.133475,1.8657836,2.3899564104204547
200401_1,2004,105,D,Major,7.857135,20,2.5454570909116363,5.0,0.8307001783834915,5,52.63157894736842,1.3138325,1.9018875,2.5
200401_2,2004,105,D,Major,38.714247,101,2.608858697419583,1.85,0.6982942509150383,10,51.20923520923518,2.7778242,1.7374725,2.789374435987885
200401_3,2004,105,D,Major,18.285696,50,2.734377734377734,2.061224489795918,0.7774674432604056,10,21.904761904761894,5.8073554,1.9631004,2.664507459175147
200402_1,2004,120,C#,Major,34.25,117,3.416058394160584,2.2413793103448274,0.9235418249456864,17,30.07389162561576,3.4282687,1.7478098,4.293185449434507
200402_2,2004,120,C#,Major,31.25,91,2.912,2.0,0.8300079471161713,17,30.338624338624346,3.6625402,1.6062737,3.92786053661804
200402_3,2004,120,C#,Major,34.25,132,3.854014598540146,2.16793893129771,0.8526858445791994,14,31.014176663031616,3.1000848,2.1219902,3.9951474238725737
200402_4,2004,120,C#,Major,32.25,103,3.193798449612403,2.9705882352941178,0.8069490377424373,14,35.873015873015866,2.988431,2.1290238,4.533450417019089
200403_1,2004,118,G,Major,20.847475,40,1.9186975880772128,3.076923076923077,0.7729112634310449,17,61.66759166759167,3.6655915,4.4443808,4.504442251822083
200403_2,2004,118,G,Major,22.3729,36,1.6090895681829356,1.3428571428571427,0.4801004696364598,5,73.18930276073134,2.9347372,3.2681806,1.462230243139095
200403_3,2004,118,G,Major,24.4068,57,2.3354147204877327,2.142857142857143,0.6781070230097638,12,57.08616780045352,3.3521578,2.549803,2.4799596895025133
200404_1,2004,95,F,Minor,18.315791,48,2.620689436781628,0.4680851063829787,0.4470209233051443,4,45.06585612968594,2.5721023,2.1717355,1.118033988749895
200404_2,2004,95,F,Minor,20.842107,45,2.1590907291666817,2.590909090909091,0.7040193075447078,8,29.54545454545453,3.4487972,1.816319,2.485513584307633
200404_3,2004,95,F,Minor,9.473685,12,1.26666656111112,2.090909090909091,0.5761642302636679,8,38.7878787878788,5.192679,3.429717,2.4094720491334933
200404_4,2004,95,F,Minor,20.210528,50,2.4739581271701563,1.7551020408163265,0.5801212412406227,12,35.9572400388727,3.2822475,2.4724784,2.047046653107838
200405_1,2004,126,F,Minor,29.52378,58,1.964518093550352,1.3157894736842106,0.6650909222425474,5,35.08771929824561,1.8958595,1.3408747,1.4935453674281183
200405_2,2004,126,F,Minor,31.5475875,75,2.377360867926906,2.189189189189189,0.6049684742865553,7,20.72072072072072,3.8120883,2.0676806,2.112144776182626
200501_1,2005,70,C,Major,27.428576,99,3.6093743984376,1.5918367346938775,0.5981596224523189,9,16.61807580174927,1.7241644,1.0335793,2.0601603796101253
200501_2,2005,70,C,Major,13.714288,48,3.499999416666764,2.617021276595745,0.6067291986242835,12,11.34751773049645,2.7212079,1.1835488,3.077062880771568
200501_3,2005,70,C,Major,26.571433,81,3.048386588709762,2.075,0.8818035254552054,12,32.500000000000014,3.405524,1.6481274,3.41665412022187
200501_4,2005,70,C,Major,30.21429075,92,3.04491675019709,2.0,0.7634499447989165,14,19.76277690563405,3.410019,1.5959333,2.757872388893574
200501_5,2005,70,C,Major,16.92857425,55,3.248944606188557,0.8518518518518519,0.6001222565383966,7,11.434450323339211,2.9939678,1.7637658,2.0344146517380897
200502_1,2005,110,Bb,Minor,18.8181975,73,3.8792238204535794,1.0416666666666667,0.6853600865922732,10,26.851851851851837,2.080722,1.5326496,1.6091080598760423
200503_1,2005,95,G,Minor,20.210528,57,2.820312264973978,2.7857142857142856,0.7909817540194383,9,33.010204081632665,3.7587252,2.5435903,3.0182577694864894
200503_2,2005,95,G,Minor,18.6315805,65,3.488700274246729,2.578125,0.8101360300300188,12,39.27083333333334,3.1252398,1.9814618,3.018052195250181
200503_3,2005,95,G,Minor,20.5263175,47,2.28974339893164,2.108695652173913,0.6304610459417876,8,21.449275362318843,2.9531324,1.6601814,2.2687277042666087
200503_4,2005,95,G,Minor,18.315791,42,2.293103257183924,2.3902439024390243,0.6987771637354198,14,43.76306620209059,4.6608524,2.9118571,3.0083971670541154
200504_1,2005,131,C,Major,11.287719536132814,25,2.214796347479504,2.375,0.8420037084906413,9,35.00000000000001,4.687131,2.1611779,2.5222212432695117
200504_2,2005,131,C,Major,11.1363525,24,2.155104195920522,2.9565217391304346,0.8225915051233277,12,27.536231884057973,4.0844994,2.3876808,4.115519408288582
200504_3,2005,131,C,Major,20.454525,36,1.76000176000176,1.4857142857142858,0.5318591203978755,8,54.18429189857762,3.8800855,2.567916,2.14663100959574
200504_4,2005,131,C,Major,16.249983750000002,32,1.9692327384635075,2.3548387096774195,0.7701847375433346,8,65.37634408602149,3.3997383,2.352899,2.1928505991061042
200505_1,2005,113,F,Minor,16.636981157226565,60,3.606423511151117,1.0508474576271187,0.4974656536253616,8,30.5084745762712,1.652549,0.78936213,1.07496769977314
200505_2,2005,113,F,Minor,16.902467657226563,45,2.662333152328825,2.4318181818181817,0.6396592582837646,12,49.39393939393938,3.413776,1.5544727,3.684200501239493
200505_3,2005,113,F,Minor,33.982272,88,2.5895855344810377,4.149425287356322,0.6504037865442911,14,58.28133552271487,2.1392415,1.3060987,4.398402579111408
200601_1,2006,140,Eb,Major,52.285662,103,1.969947325138582,1.6176470588235294,0.8150293611307888,14,54.60161842514777,2.6341558,1.4082457,3.2927939843822225
200601_2,2006,140,Eb,Major,26.142831,76,2.9071067322433444,4.04,0.8108695942554414,12,62.39999999999994,2.3578696,1.8389541,4.076739640225119
200601_3,2006,140,Eb,Major,12.428559000000002,27,2.1724159655194133,2.3076923076923075,0.7871409996918717,14,62.68315018315021,5.6124682,2.47066,3.8536320672502415
200601_4,2006,140,Eb,Major,31.714254000000004,69,2.175677851353526,1.8235294117647056,0.7525453879034937,15,75.8659477777124,3.5699291,2.821949,3.1478981495474705
200602_1,2006,125,C,Minor,17.28,62,3.587962962962963,1.278688524590164,0.7790013994202678,9,23.231850117096027,2.231937,1.5472835,1.8248629729180104
200602_2,2006,125,C,Minor,14.4,73,5.069444444444445,0.5416666666666666,0.7133598738186754,5,39.81481481481477,1.4530474,1.7816281,1.0525683677971807
200603_1,2006,114,Bb,Minor,32.869494,87,2.6468311316261817,2.36046511627907,0.8564668625896534,17,23.255813953488392,3.4103007,1.276982,5.353114327476923
200604_1,2006,82,C,Minor,22.13413675,42,1.8975214834163343,3.7804878048780486,0.7365428352371601,12,51.38211382113821,2.842628,3.28324,3.5134984277517556
200604_2,2006,82,C,Minor,28.536573,43,1.5068382598008527,2.523809523809524,0.8606055994853213,10,46.34920634920635,3.4283106,2.852397,2.9830964199882066
200604_3,2006,82,C,Minor,25.2438915,45,1.7826094681162767,2.363636363636364,0.8686820072670396,12,40.223665223665215,3.340877,2.4290986,3.3697272483681915
200605_1,2006,100,Bb,Minor,21.6,67,3.101851851851852,1.803030303030303,0.7646757946937668,12,33.030303030303045,3.0853992,2.0241838,2.3237612484810226
200605_2,2006,100,Bb,Minor,9.6,35,3.6458333333333335,1.7647058823529411,0.8150588657400826,14,29.411764705882344,3.9957027,2.2172117,4.290093001227792
200605_3,2006,100,Bb,Minor,19.05,82,4.304461942257218,1.7654320987654322,0.6681344143689438,12,15.802469135802466,2.814359,1.8842869,2.7795248653496456
200605_4,2006,100,Bb,Minor,9.0,30,3.333333333333333,0.8275862068965517,0.7605371686052047,12,45.97701149425285,3.207454,1.7020019,4.06680327639399
200701_1,2007,88,G,Minor,21.477267,70,3.2592601283952938,1.5942028985507246,0.8240468525777584,12,20.28985507246376,3.42017,1.9503893,3.101809873250764
200701_2,2007,88,G,Minor,11.249997,34,3.0222230281483635,1.696969696969697,0.6241244174068714,5,39.16305916305916,3.497382,2.0528302,1.972343379917528
200701_3,2007,88,G,Minor,24.886357,78,3.134247411141776,2.2467532467532467,0.8080959534888036,13,29.177489177489186,2.974961,1.6801767,3.632642027496552
200701_4,2007,88,G,Minor,21.818176,72,3.300000880000235,2.1549295774647885,0.9184822837995796,14,22.25352112676056,4.1548176,2.1871898,3.5072400865483044
200701_5,2007,88,G,Minor,22.499994,62,2.7555562903705666,2.278688524590164,0.7991991369267026,14,46.27634660421548,5.807353,2.2484868,3.1289075465669454
200702_1,2007,87,Db,Major,23.7930975,51,2.1434787967392643,1.38,0.7130151439879834,7,55.90476190476189,3.1472251,1.9961168,1.9872720720501846
200702_2,2007,87,Db,Major,46.89654,126,2.686765377573697,1.272,0.8045018221701298,10,41.93523809523813,2.6621342,1.4591736,2.6609088443715856
200702_3,2007,87,Db,Major,21.95379300292969,45,2.049759692732588,0.4545454545454545,0.5085432269744397,7,41.34920634920634,2.599801,1.8664048,1.4996295838935991
200702_4,2007,87,Db,Major,24.4827525,47,1.9197187897888524,1.326086956521739,0.5134493538944753,8,53.23671497584541,2.5466764,1.6033497,1.624283802892963
200703_1,2007,128,Db,Major,16.0,16,1.0,3.733333333333333,0.7673427982429941,7,0.0,2.4996052,2.2251184,2.48746859276655
200703_2,2007,128,Db,Major,9.25,32,3.45945945945946,2.129032258064516,0.6840673289200366,7,81.72043010752684,3.8701425,2.0735593,2.1321112629269607
200703_3,2007,128,Db,Major,8.25,39,4.727272727272728,0.2368421052631578,0.6871851285126117,7,8.771929824561402,1.2042567,0.82345355,1.3129607296914982
200703_4,2007,128,Db,Major,32.08349609375,86,2.680505882173893,1.4,0.5185783045338347,7,59.6078431372548,1.86792,1.1757216,1.7573149290523313
200703_5,2007,128,Db,Major,33.25,109,3.278195488721805,1.3703703703703705,0.7132407630462744,8,73.6772486772487,2.3613791,1.6951783,1.9975576367349475
200704_1,2007,113,G,Major,35.575191000000004,50,1.405473831468677,2.489795918367347,0.7697665681716234,12,46.66637217657625,3.8712628,2.652746,2.948151963518842
200704_2,2007,113,G,Major,34.513245000000005,78,2.2600019210016327,2.207792207792208,0.5386409141179349,10,44.15259809037085,2.6567395,2.4012065,2.0090606726340514
200704_3,2007,113,G,Major,33.982272,68,2.001043367553529,2.029850746268657,0.8244072895590941,16,50.03340503567129,3.6067178,2.6320577,4.056478435914341
200704_4,2007,113,G,Major,21.23892,37,1.7420848141054253,1.7222222222222223,0.7781337598528433,12,58.49567099567099,4.169196,2.899573,3.0926761432144634
200705_1,2007,80,C#,Major,25.875,70,2.705314009661836,2.3768115942028984,0.7431496455359636,7,31.594202898550712,2.6518524,2.0624876,2.282184774933611
200705_2,2007,80,C#,Major,25.875,65,2.5120772946859904,2.484375,0.8269017033663193,14,23.124999999999996,3.9576294,2.0075889,3.5656480692640087
200705_3,2007,80,C#,Major,25.875,38,1.4685990338164252,2.756756756756757,0.7295674532896645,12,25.225225225225227,3.245242,1.9026674,3.2977789890148514
200801_1,2008,128,Bb,Minor,29.765625,98,3.292388451443569,1.2164948453608246,0.9105642060215028,15,21.786941580756015,2.1423035,1.360402,4.363781206972233
200801_2,2008,128,Bb,Minor,31.640625,148,4.677530864197531,1.054421768707483,0.6923399355427057,12,24.03628117913832,1.4455386,1.6712172,1.706599466335101
200801_3,2008,128,Bb,Minor,30.0,112,3.733333333333333,0.1621621621621621,0.672731632698045,3,5.885885885885887,0.91570747,1.2334116,0.40945069599278927
200801_4,2008,128,Bb,Minor,31.640625,105,3.3185185185185184,1.8461538461538465,0.6146523880791569,7,30.25641025641024,1.7250406,1.0657496,2.3432442576038994
200802_1,2008,104,F,Major,32.88461100000001,73,2.219883336920117,2.083333333333333,0.7039567161000986,7,24.999999999999982,1.9050568,1.5823051,1.6986301369863013
200802_2,2008,104,F,Major,18.461536,47,2.545833672777823,1.4130434782608696,0.5263596628188549,9,8.695652173913041,2.8660917,1.3874185,1.8614285513276092
200802_3,2008,104,F,Major,18.1730745,34,1.8708997203527664,2.575757575757576,0.7867997047512623,7,24.242424242424235,2.6473634,1.8727429,2.8902951801457415
200802_4,2008,104,F,Major,17.5961515,45,2.55737739016398,2.1818181818181817,0.7882098136184696,19,42.99422799422798,4.2015963,2.256466,4.249386302822713
200803_1,2008,90,C#,Minor,21.0000105,35,1.6666658333337498,1.9411764705882355,0.6120889491877571,10,72.80112044817926,3.8374298,4.04039,2.0630866512612225
200803_2,2008,90,C#,Minor,21.333344,58,2.71874864062568,1.7719298245614037,0.7046815365821564,9,36.37426900584795,3.2396755,2.1346755,2.066161893529518
200803_3,2008,90,C#,Minor,31.6666825,68,2.147367347368958,2.0,0.696206652568878,9,51.13006396588487,2.740635,2.3423023,2.199205581638838
200803_4,2008,90,C#,Minor,21.6666775,46,2.1230758615389926,1.8666666666666667,0.6333372113204344,12,53.043129709796375,3.8157046,3.4444726,2.2618100050744365
200803_5,2008,90,C#,Minor,24.666679,50,2.02702601351402,2.3877551020408165,0.6317287767133647,14,55.0661130252967,3.173333,2.688056,2.410726031717416
200803_6,2008,90,C#,Minor,22.50001125,44,1.9555545777782664,1.8604651162790695,0.7666244463318912,12,36.85492801771871,3.2548208,2.016009,3.3966439440489826
200804_1,2008,148,C,Major,11.9594475,36,3.0101725016979257,1.0857142857142856,0.6456155843980728,5,0.0,2.0425174,1.3525733,1.632993161855452
200804_2,2008,148,C,Major,26.351325000000003,66,2.5046178892332738,2.076923076923077,0.7735916928167064,12,19.487179487179485,2.2676044,1.5647523,3.1103075178880686
200804_3,2008,148,C,Major,26.1486225,80,3.0594345839823878,1.2911392405063291,0.7439099410115673,7,15.189873417721516,2.2025638,1.794729,2.0530084632071053
200804_4,2008,148,C,Major,24.729705000000003,87,3.5180363049215506,1.0465116279069768,0.7762481873099185,7,11.627906976744184,1.6158864,1.2703321,1.8101167526463933
200804_5,2008,148,C,Major,39.729690000000005,118,2.9700709972818813,1.8461538461538465,0.7223098965605624,16,13.675213675213676,2.8771935,1.6674838,5.220428405573536
200805_1,2008,118,Ab,Major,33.94070625,62,1.8267150819821256,2.3278688524590163,0.7954778284217119,12,44.52253789283683,2.8279574,1.853948,2.7807967176720436
200805_2,2008,118,Ab,Major,15.762725,25,1.5860201836928578,3.5416666666666665,0.7212697080705068,10,38.888888888888886,2.9604201,2.1385708,3.9407613477601
200901_1,2009,130,A,Major,14.0768785,24,1.7049234317110855,8.130434782608695,0.7374066108641075,19,0.0,3.9296885,1.3622855,6.378675411086537
200901_2,2009,130,A,Major,15.769331073242189,36,2.282912308251663,2.3142857142857145,0.615145493533104,12,31.61904761904763,3.246877,2.5600529,2.568806227043754
