ID,Year,Tonality,MIC,Pitch STD,MIS,Onset Density,nPVI,RIC
1977_04_2,1977,0.8915700620802081,5.7491384,4.434939133867259,3.1818181818181817,1.0093745962501617,70.30507618742914,3.6036844
2020_03_3,2020,0.8276547168304635,3.2242837,4.098640405841866,1.4142857142857144,4.545719513068546,19.965986394557834,1.5990238
1958_03a_3,1958,0.8043467656532436,5.6398396,3.103651568914348,2.769230769230769,0.6253336043112285,56.4102564102564,4.2709813
2015_03_1,2015,0.7842211143158712,3.4846973,4.897431926715605,2.245614035087719,2.0365392000877818,20.517961570593148,1.7858796
2002_05_1,2002,0.6594196374896196,3.0983696,2.1931595882634345,2.6296296296296298,1.587547515046118,54.81481481481482,2.036153
2014_03_1,2014,0.6375584561094786,3.2103407,2.1613015730795,1.7246376811594204,2.2307252556059103,55.88681849551413,2.026783
2003_05_1,2003,0.6959084866451973,3.0749006,2.497963140967271,1.6388888888888888,2.002501733759743,42.56613756613753,1.971574
1967_05_1,1967,0.7187762330411978,3.2755723,2.23606797749979,1.0975609756097562,1.9649122807017545,47.47967479674795,2.702907
1970_03_1,1970,0.892450986274564,2.9496343,4.330681914422507,3.277227722772277,2.1004943211696223,44.84048404840488,2.0446668
1966_05_1,1966,0.6270361520264556,3.0915504,2.2596715917317147,2.388888888888889,1.888412017167382,69.6675868414999,2.0831337
2021_01_1,2021,0.850112255896911,2.4183311,2.798656287328348,0.6235294117647059,4.770382569497281,16.15686274509804,1.2070613
1997_01a_1,1997,0.8513404964879785,4.8341165,3.3437140528026843,2.25,1.5578953600002494,49.99999999999998,2.2678733
2020_01_1,2020,0.6118837425333359,3.6747947,2.461038556188679,2.909090909090909,2.5335387152918525,28.13852813852813,2.261759
2013_04_2,2013,0.6029506860302514,1.7485994,0.7340592450249582,0.7592592592592593,4.115769358913386,18.51851851851852,1.2607449
2004_02_2,2004,0.8252068709263274,3.6625402,3.92786053661804,2.0,2.89703200132648,30.41798941798942,1.5937582
2012_04_2,2012,0.8168618965439518,2.352901,2.3258809561588105,2.406779661016949,3.387435426960716,38.64406779661018,1.4769802
1973_04_8,1973,0.6473364042595197,3.4589586,2.687165923409155,2.21,1.9380364024788228,52.38095238095237,2.7451277
2015_01_3,2015,0.7923471332261173,1.5051811,2.0068752351270844,0.3846153846153846,4.151228220414562,21.230769230769223,1.9591458
2014_01_3,2014,0.67348311574638,3.5055099,2.0580170084657623,1.9642857142857144,2.6238778539619707,38.0952380952381,2.5186949
1988_03_4,1988,0.6965747928724504,2.8456194,2.410752661527459,1.2857142857142858,2.518307130988871,31.619047619047613,2.2455971
2014_01_2,2014,0.7208592961719066,2.6522934,2.391517500600544,1.6933333333333334,3.168007294753639,31.2,1.7534101
2015_01_2,2015,0.7475410437338934,2.4157088,2.134881360784839,1.0217391304347827,2.6122159614573004,24.637681159420293,2.2027066
1952_05_2,1952,0.8999791762694885,4.5229774,3.4448193051815466,2.1463414634146343,1.122291344829026,85.1335656213705,1.4104244
2012_04_3,2012,0.671913933699413,2.548487,1.569089167742398,1.0,2.180837947557511,26.470588235294112,1.3267823
2004_02_3,2004,0.8633692856562231,3.1000848,3.9951474238725737,2.16793893129771,3.8541318166610905,31.27832303404822,2.119867
2013_04_3,2013,0.6252441207489619,2.3831706,3.077265364207564,0.9230769230769232,3.966105018589263,17.948717948717952,1.1406927
1953_05_2,1953,0.7387245453586015,4.6406054,3.5816191684444334,2.046511627906977,1.330863975720202,69.05786673525925,3.8076532
1995_03_1,1995,0.8103081170299363,2.974584,3.183371927658277,1.6164383561643836,1.8500008325003747,23.56164383561644,1.511855
1982_05_1,1982,0.8431385542435722,3.450903,3.0244422721033475,1.88,3.076189245714778,45.42857142857141,2.3533328
1994_03_1,1994,0.7761880082892556,4.7419076,3.851593837167308,2.757575757575758,1.5154381980657072,59.7691197691198,2.6193142
1983_05_1,1983,0.7338675425845271,3.7411149,3.5714146642702262,1.9761904761904765,3.464924937538181,26.984126984126984,1.4712721
1954_02_1,1954,0.6941983251567213,4.7660403,2.878947364003302,3.96875,1.3372053758357534,75.19345238095238,2.3905885
1955_02_1,1955,0.8350188111207673,4.4380403,2.6862737168789157,2.72972972972973,2.5092720263347505,7.207207207207207,1.4821583
1958_03a_2,1958,0.7846849999363638,5.721159,3.815572532399299,3.2666666666666666,1.374359569914788,56.88888888888888,3.1633842
2020_03_2,2020,0.7317329022369412,2.427997,5.313552642519134,1.8289473684210529,4.736806269722794,14.912280701754394,1.7660342
1977_04_3,1977,0.7978107041272925,4.1371017,3.139247566447525,2.1463414634146343,1.148200979568529,81.42529557163705,2.925968
2009_03_5,2009,0.7839102999626864,3.7503319,3.355949447505858,1.930232558139535,2.9634222476795284,17.05426356589147,1.2911248
1976_04_3,1976,0.5608823435324314,3.2549698,1.7284832429004493,1.8846153846153848,3.227586637241436,44.3956043956044,2.2659676
1994_01_3,1994,0.6507117567505406,1.7910422,0.4517539514526256,0.5925925925925926,2.0118508794572603,70.54673721340389,2.307804
2008_03_5,2008,0.6315412081293219,3.345044,2.4248711305964283,2.4285714285714284,2.027825268969132,55.0661130252967,2.6330273
