Year,Tonality,MIC,Pitch STD,MIS,Onset Density,nPVI,RIC
1975,0.7039677577843808,3.8724049571428574,3.1734722113302447,2.17339544367398,1.8891494646340699,41.3365680665362,2.480686378571428
1976,0.7584211033520791,3.420241199999999,3.072893346908677,2.4817662976113533,1.945828954658663,39.235909202030214,2.3164978442105264
1977,0.7712383392968365,4.115210738888888,3.551151957201406,2.1522005771482764,1.9765409087048578,46.84768876846239,2.5941358000000005
1978,0.7046101981823466,3.355873947058824,2.7403916529075545,1.6612043429555285,2.213014810031973,49.67482442739635,2.412624105882353
1979,0.7664689821516804,3.3905834000000006,2.711910314243061,2.3210529123597428,2.072530742324821,35.12144162654066,2.60205854375
1980,0.771159724046327,3.9162613928571433,3.2065839650234267,2.5140458963766625,1.697021694339037,47.14176934107338,2.4756978785714288
1981,0.7800015510941573,3.9925677333333334,2.9726551489342117,2.203256710487476,1.7566514505525928,51.84697255725481,2.7665013466666664
1982,0.731282878654944,3.332558675000001,2.760754225197226,1.9277915869480093,2.5248843914520314,41.16884763502163,2.131510225
1983,0.7889424574694478,3.774755491666667,2.777602180743905,1.8507682157024263,2.261359508105261,49.02623640289293,2.360959633333333
1984,0.7220613363868333,3.664044854545455,2.777629387491171,1.902029470647436,2.1478421145181574,33.933460395166385,2.2531529272727275
1985,0.7356532137301676,3.7338634764705887,2.8923160139689013,2.2046832311273046,2.1086391254047308,47.32958968984603,2.340938047058824
1986,0.7515498635448815,4.20758064375,3.3297229646490445,2.5525909146562222,1.5181276135646076,53.32919587284912,2.90159580625
1987,0.7194935586366095,3.2648118600000005,2.4862243210939727,1.6746902627786715,2.2389847303835415,46.583777988639994,2.251275753333333
1988,0.7704976766562099,3.7318271470588242,3.0465634636350782,2.29166659465673,2.3183865174780083,32.0661397601811,2.3459793764705883
1989,0.7041977310579759,3.2480769695652167,2.562109089710314,1.7759153473273006,2.244933738825604,44.29587445276079,2.2849331304347826
1990,0.7677507194755736,3.6920646266666663,2.9573646412543733,2.1542636096760477,2.008846358110296,33.992831510520254,2.3333488533333333
1991,0.7079947081254078,4.017733389473683,2.60943485094517,2.0170848566122634,1.789561278192851,38.38041715243801,2.5405088263157896
1992,0.7563588020155232,3.49333628,2.976046051323831,2.220790143313997,2.027135752806984,31.87393918562098,2.0817638499999997
1993,0.7437830243172558,4.02399804,3.017684991993474,2.376229853121974,1.4950762156053472,53.940738506050856,3.2954967699999997
1994,0.7556106710424603,4.05527853125,3.0676197772522866,2.1452771036800224,1.6859203621606,56.87005909089742,2.4029575750000003
1995,0.7659004389422841,3.355683186666666,3.2893221941917745,1.9057620497640906,2.1058130859697126,40.3827565387656,1.9986348133333334
1996,0.7304248690870625,3.5313353312499998,2.873526619683032,1.9486765201391145,2.327605536652487,38.02383428103039,2.21209649375
1997,0.7292456372021631,3.980322986666666,3.062575385773221,1.8706627781859664,2.0773945078760234,52.987193947796996,2.4720377933333335
1998,0.7461436866562792,3.6006525333333332,3.083579333025293,2.286331108628777,2.1444882126762375,34.817107631119335,1.9638635399999995
1999,0.7531850806190925,3.421734133333333,2.9706359629665626,1.81237681060967,2.289556169103626,35.62493635177406,2.0179686444444442
2000,0.7380099709588084,3.3387051411764705,3.0245748342306515,2.2508010802928347,2.274250372985615,36.05073940545945,2.1042017647058824
2001,0.7223676496640379,3.120968790476191,2.8111034694555332,2.136461980887035,2.423062034594089,40.55633019046671,2.057901761904762
2002,0.7077876442687423,2.997901190476191,2.612937467905442,2.0154287384549443,2.773055816501234,30.81043875532993,1.7880967428571435
2003,0.6715670843686219,2.2967047133333334,2.2105250206599014,1.734067517355394,3.374989271625937,29.050190902697214,1.5721623266666667
2004,0.7054135235411939,3.106652888235294,2.775295576668358,2.1676842606834827,2.5656106139131474,37.84482030260251,2.2618693470588234
2005,0.6972130298999332,3.2179092529411766,2.726593709670403,2.1340872576039884,2.8046646319770123,28.553068613922306,1.756937388235294
2006,0.7885069109630712,3.096212635714285,3.2762407840235417,2.0692296965567327,2.861783965207256,41.09994997704119,2.055150157142857
2007,0.7168974370080498,3.1053696523809524,2.5763875003963688,1.8647069640420264,2.5389220260539638,43.53906404811734,1.9309052333333334
2008,0.7109729536181288,2.626436703181818,2.606668011094722,1.8339525466511573,2.612415855778996,29.297407681677523,1.853171659090909
2009,0.729348508569227,3.1813510349999996,2.7919103323556107,2.188432571167633,2.734555563336213,19.232867595331108,1.6334607300000001
2010,0.7515989178683816,3.141381330769231,2.623309228361111,2.12076545354868,2.235208971790892,30.789781109580833,1.9778759461538464
2011,0.7366941455775318,2.6817916684210523,2.569090672659604,1.7540520822242125,2.511141758051715,35.77639768141732,1.8381012684210531
2012,0.7558724509073725,3.037987911764706,3.265028532063333,1.9694255144112063,2.444324357421199,31.822679270764667,1.8338265352941177
2013,0.707379349804317,2.5298664559999997,2.389653184019562,1.457744761379286,3.0054746054710892,22.640323982021677,1.49883097
2014,0.7295762765906716,3.10860855882353,2.8407812955435734,2.077597645227768,2.3904700817348736,40.05156603917787,2.1843028529411765
2015,0.7576615944795403,2.6670456263157902,2.898186242610209,1.8041184534958206,2.82132373379391,28.831449825184965,1.9454711947368417
2016,0.7221447643913038,2.952055663157895,2.5214366277214504,2.0158139268553357,2.819860906288936,30.04338471599742,1.9177498210526316
2017,0.6968516443518779,2.9335188952380955,2.814286519322909,1.8291403096320684,3.0901154249461835,25.067276317476143,1.5490474476190477
2018,0.7267825849924838,2.7307558842105264,2.5364227213250445,1.855351036899691,2.7436809805088376,24.137634805472857,1.6015834384210528
2019,0.718288922375257,2.7306297578947367,2.610370214511145,1.9229953763671859,3.167836554436478,23.375817385983645,1.5696573947368422
2020,0.719270533411791,3.199424794444445,2.9993118157249645,2.0225696995091504,2.827768940782145,27.935575818100798,2.091697533333333
2021,0.6954787231835977,2.823879406666666,2.5131799990349957,2.170793317457023,3.17331258262017,22.772575310344628,1.767436163333333
