Year,Tonality,Pitch STD,MIS,Onset Density,nPVI,MIC,RIC
2000,0.7380099709588085,3.0245748342306515,2.250801080292834,2.2742503729856156,36.05073940545946,3.3387051411764705,2.1042017647058824
2001,0.7223676496640378,2.811103469455533,2.136461980887035,2.4230620345940888,40.55633019046671,3.1209687904761902,2.0579017619047617
2002,0.7077876442687423,2.612937467905442,2.015428738454944,2.773055816501234,30.810438755329923,2.9979011904761905,1.7880967428571428
2003,0.671567084368622,2.210525020659901,1.7340675173553943,3.3749892716259375,29.050190902697214,2.2967047133333334,1.5721623266666667
2004,0.7054135235411939,2.7752955766683574,2.1676842606834827,2.5656106139131474,37.84482030260251,3.106652888235294,2.2618693470588234
2005,0.6972130298999332,2.726593709670403,2.1340872576039884,2.8046646319770128,28.553068613922306,3.2179092529411766,1.756937388235294
2006,0.7885069109630711,3.2762407840235412,2.0692296965567323,2.8617839652072554,41.09994997704119,3.0962126357142856,2.055150157142857
2007,0.7168974370080496,2.5763875003963688,1.8647069640420264,2.5389220260539638,43.53906404811733,3.1053696523809524,1.9309052333333334
2008,0.7109729536181286,2.606668011094722,1.8339525466511573,2.612415855778996,29.297407681677523,2.626436703181818,1.853171659090909
2009,0.729348508569227,2.7919103323556107,2.188432571167632,2.7345555633362126,19.232867595331108,3.181351035,1.6334607300000001
2010,0.7515989178683815,2.623309228361111,2.12076545354868,2.235208971790892,30.78978110958083,3.1413813307692307,1.9778759461538462
2011,0.7366941455775315,2.569090672659604,1.754052082224213,2.5111417580517155,35.776397681417315,2.6817916684210528,1.8381012684210527
2012,0.7558724509073723,3.265028532063333,1.9694255144112058,2.4443243574211984,31.82267927076467,3.0379879117647057,1.8338265352941177
2013,0.7073793498043172,2.389653184019562,1.457744761379286,3.0054746054710892,22.640323982021677,2.529866456,1.49883097
2014,0.7295762765906715,2.840781295543574,2.0775976452277676,2.3904700817348736,40.051566039177864,3.1086085588235295,2.184302852941176
2015,0.7576615944795403,2.8981862426102096,1.8041184534958206,2.8213237337939097,28.831449825184972,2.6670456263157893,1.9454711947368422
2016,0.7221447643913038,2.5214366277214504,2.0158139268553352,2.8198609062889357,30.04338471599742,2.952055663157895,1.9177498210526316
2017,0.696851644351878,2.814286519322909,1.8291403096320684,3.0901154249461844,25.06727631747614,2.9335188952380955,1.5490474476190477
2018,0.7267825849924839,2.536422721325045,1.8553510368996906,2.743680980508838,24.137634805472853,2.7307558842105264,1.6015834384210528
2019,0.7182889223752571,2.6103702145111445,1.9229953763671856,3.167836554436478,23.37581738598364,2.7306297578947367,1.569657394736842
2020,0.7192705334117911,2.9993118157249636,2.0225696995091504,2.8277689407821445,27.9355758181008,3.1994247944444445,2.091697533333333
2021,0.6954787231835977,2.5131799990349957,2.170793317457023,3.1733125826201696,22.77257531034463,2.823879406666667,1.7674361633333333
