Year,Tonality,Pitch STD,MIS,Onset Density,nPVI,MIC,RIC
2001,0.7185834859758605,2.7259553510436185,1.9898272255199754,2.6269827329621003,34.418527121145466,3.0352027937591037,1.9080662481157795
2002,0.7090291745602809,2.686887273783977,2.060888715534738,2.6821936219240046,34.86250391131116,2.972186544739496,1.9568463886386553
2003,0.7008697863485058,2.6272910488719274,2.037545950996969,2.7882764737222843,33.36296975300373,2.948027367092437,1.8873935133445374
2004,0.7140976386083125,2.720318511785529,2.0240994941309083,2.8760208598449175,33.47169371031863,2.943076136140056,1.886843192392157
2005,0.715919597156174,2.713008518283714,1.993955139248325,2.8291941017554634,36.01741876887611,2.9645698285210083,1.915404890487395
2006,0.7238007710060753,2.7922371163706785,2.013932145107477,2.676679418586075,36.06686212467217,3.0305162264907053,1.9716067569722437
2007,0.728587768011682,2.7955600675081294,2.0180818072043074,2.710468408470688,32.344471583217896,3.0454558558436466,1.8459250335604787
2008,0.7394649456053715,2.7749031712462706,2.0154174463932457,2.596577276433464,32.791814082349596,3.0301502714092576,1.8901127451441895
2009,0.7291023925282636,2.6334731489734833,1.9523819235267417,2.5264488350023564,31.72710362322482,2.947266077950611,1.8467029673998283
2010,0.7368973953081281,2.771201355306876,1.9733256336005778,2.507529301275803,29.38382666775429,2.933789729827361,1.8272872277919852
2011,0.7361786745453658,2.727798389891844,1.8980840765462035,2.5861410512142218,28.052409927823117,2.9144756803909977,1.7564190899738032
2012,0.7362242281496548,2.7375725825294364,1.8759170913582306,2.517323954893954,32.21614961659247,2.899927185155704,1.8665875145620388
2013,0.7374367634718866,2.7925479853792563,1.8125876913476588,2.6345469072945575,31.824483359713298,2.8050600442650158,1.8601065642786376
2014,0.734526887234641,2.7830171763916254,1.864940060273883,2.696290736942001,30.677880766629322,2.859112843212384,1.8760362748049535
2015,0.7227227259235421,2.6928687738435406,1.8368830193180556,2.825448950446998,29.326800175971613,2.8382190399070617,1.8190804572699395
2016,0.7266033729611754,2.7222226813046375,1.9164042744221366,2.773090225454548,29.62626234066185,2.878396925549167,1.83963095095415
2017,0.7243459021180927,2.6761404650981513,1.8854838206500197,2.9285635199948694,26.29111261002301,2.802801165363409,1.7167018593132835
2018,0.7166676899045428,2.6963655797211024,1.9291740698526862,2.929852561392516,26.11193780860617,2.9092769989891396,1.7459471270325815
2019,0.7113344816630016,2.694714253983812,1.9601699479730237,3.000542896658763,24.657775927475615,2.883641747690894,1.7158843954887217
2020,,,,,,,
2021,,,,,,,
