ID,Year,Tonality,Pitch STD,MIS,Onset Density,nPVI
2014_03_1,2014,0.6375584561094786,2.1613015730794998,1.7246376811594204,2.2307252556059103,55.886818495514134
2003_05_1,2003,0.6959084866451973,2.497963140967271,1.6388888888888888,2.002501733759743,42.56613756613753
1967_05_1,1967,0.7187762330411978,2.23606797749979,1.0975609756097562,1.9649122807017543,47.47967479674795
1970_03_1,1970,0.892450986274564,4.330681914422507,3.277227722772277,2.1004943211696223,44.840484048404875
1966_05_1,1966,0.6270361520264556,2.2596715917317147,2.388888888888889,1.888412017167382,69.6675868414999
2021_01_1,2021,0.850112255896911,2.7986562873283476,0.6235294117647059,4.770382569497281,16.15686274509804
1997_01a_1,1997,0.8513404964879785,3.3437140528026843,2.25,1.5578953600002494,49.99999999999998
2020_01_1,2020,0.6118837425333359,2.461038556188679,2.909090909090909,2.5335387152918525,28.138528138528134
2013_04_2,2013,0.6029506860302514,0.7340592450249582,0.7592592592592593,4.115769358913386,18.51851851851852
2004_02_2,2004,0.8252068709263274,3.92786053661804,2.0,2.89703200132648,30.41798941798942
2012_04_2,2012,0.8168618965439518,2.3258809561588105,2.406779661016949,3.3874354269607156,38.64406779661018
1973_04_8,1973,0.6473364042595197,2.687165923409155,2.21,1.9380364024788228,52.38095238095237
2015_01_3,2015,0.7923471332261173,2.0068752351270844,0.38461538461538464,4.151228220414562,21.230769230769226
2014_01_3,2014,0.67348311574638,2.0580170084657623,1.9642857142857142,2.6238778539619707,38.0952380952381
1988_03_4,1988,0.6965747928724504,2.410752661527459,1.2857142857142858,2.518307130988871,31.619047619047613
2014_01_2,2014,0.7208592961719066,2.3915175006005436,1.6933333333333334,3.168007294753639,31.2
2015_01_2,2015,0.7475410437338934,2.134881360784839,1.0217391304347827,2.6122159614573004,24.637681159420293
1952_05_2,1952,0.8999791762694885,3.4448193051815466,2.1463414634146343,1.122291344829026,85.1335656213705
2012_04_3,2012,0.671913933699413,1.569089167742398,1.0,2.180837947557511,26.470588235294112
2004_02_3,2004,0.8633692856562231,3.9951474238725737,2.16793893129771,3.8541318166610905,31.27832303404822
2013_04_3,2013,0.6252441207489619,3.0772653642075642,0.9230769230769231,3.966105018589263,17.948717948717952
1953_05_2,1953,0.7387245453586015,3.5816191684444334,2.046511627906977,1.3308639757202019,69.05786673525925
1995_03_1,1995,0.8103081170299363,3.1833719276582775,1.6164383561643836,1.8500008325003747,23.561643835616437
1982_05_1,1982,0.8431385542435722,3.0244422721033475,1.88,3.076189245714778,45.42857142857141
1994_03_1,1994,0.7761880082892556,3.851593837167308,2.757575757575758,1.5154381980657072,59.7691197691198
1983_05_1,1983,0.7338675425845271,3.5714146642702262,1.9761904761904763,3.464924937538181,26.984126984126984
1954_02_1,1954,0.6941983251567213,2.878947364003302,3.96875,1.3372053758357534,75.19345238095238
1955_02_1,1955,0.8350188111207673,2.6862737168789153,2.72972972972973,2.5092720263347505,7.207207207207207
1958_03a_2,1958,0.7846849999363638,3.815572532399299,3.2666666666666666,1.374359569914788,56.88888888888888
2020_03_2,2020,0.7317329022369412,5.313552642519134,1.8289473684210527,4.736806269722794,14.912280701754394
1977_04_3,1977,0.7978107041272925,3.1392475664475255,2.1463414634146343,1.148200979568529,81.42529557163705
2009_03_5,2009,0.7839102999626864,3.355949447505858,1.930232558139535,2.9634222476795284,17.05426356589147
1976_04_3,1976,0.5608823435324314,1.7284832429004493,1.8846153846153846,3.227586637241436,44.3956043956044
1994_01_3,1994,0.6507117567505406,0.4517539514526256,0.5925925925925926,2.0118508794572603,70.54673721340389
2008_03_5,2008,0.6315412081293219,2.4248711305964283,2.4285714285714284,2.027825268969132,55.0661130252967
